hotel,is_canceled,lead_time,adults,is_repeated_guest,previous_cancellations,required_car_parking_spaces,total_of_special_requests
1,0,342,2,0,0,0,0
1,0,737,2,0,0,0,0
1,0,7,1,0,0,0,0
1,0,13,1,0,0,0,0
1,0,14,2,0,0,0,1
1,0,14,2,0,0,0,1
1,0,0,2,0,0,0,0
1,0,9,2,0,0,0,1
1,1,85,2,0,0,0,1
1,1,75,2,0,0,0,0
1,1,23,2,0,0,0,0
1,0,35,2,0,0,0,0
1,0,68,2,0,0,0,3
1,0,18,2,0,0,0,1
1,0,37,2,0,0,0,0
1,0,68,2,0,0,0,3
1,0,37,2,0,0,0,0
1,0,12,2,0,0,0,0
1,0,0,2,0,0,0,0
1,0,7,2,0,0,0,1
1,0,37,1,0,0,0,1
1,0,72,2,0,0,0,1
1,0,72,2,0,0,0,1
1,0,72,2,0,0,0,1
1,0,127,2,0,0,0,1
1,0,78,2,0,0,1,0
1,0,48,2,0,0,0,0
1,1,60,2,0,0,0,2
1,0,77,2,0,0,0,0
1,0,99,2,0,0,1,1
1,0,118,1,0,0,0,2
1,0,95,2,0,0,0,0
1,1,96,2,0,0,0,2
1,0,69,2,0,0,0,0
1,1,45,3,0,0,0,1
1,1,40,3,0,0,0,1
1,0,15,2,0,0,0,0
1,0,36,3,0,0,0,1
1,1,43,3,0,0,0,0
1,0,70,2,0,0,0,1
1,1,45,2,0,0,0,0
1,0,45,2,0,0,0,0
1,0,16,2,0,0,0,0
1,0,70,2,0,0,0,1
1,0,107,2,0,0,0,2
1,1,47,2,0,0,0,0
1,0,96,2,0,0,0,1
1,0,113,2,0,0,0,2
1,0,90,2,0,0,0,0
1,0,50,2,0,0,0,1
1,0,113,2,0,0,0,2
1,0,93,2,0,0,0,0
1,0,76,2,0,0,0,0
1,0,3,2,0,0,1,0
1,0,1,2,0,0,1,0
1,0,1,2,0,0,1,2
1,0,0,2,0,0,0,0
1,0,0,2,0,0,0,2
1,0,0,2,0,0,0,0
1,0,14,2,0,0,0,1
1,0,10,2,0,0,0,0
1,0,5,2,0,0,1,2
1,0,17,2,0,0,0,1
1,0,93,2,0,0,0,0
1,1,3,2,0,0,0,2
1,0,10,2,0,0,1,0
1,0,3,2,0,0,0,0
1,0,51,2,0,0,0,0
1,1,71,3,0,0,0,2
1,1,63,2,0,0,0,2
1,1,62,2,0,0,0,1
1,1,101,2,0,0,0,1
1,0,2,2,0,0,0,0
1,0,15,2,0,0,0,0
1,1,51,3,0,0,0,0
1,0,3,2,0,0,1,0
1,1,48,2,0,0,0,0
1,0,2,1,0,0,0,0
1,0,72,2,0,0,1,0
1,0,81,3,0,0,0,0
1,0,99,2,0,0,0,0
1,1,368,2,0,0,0,0
1,0,364,2,0,0,0,0
1,1,81,2,0,0,0,1
1,0,99,2,0,0,0,0
1,0,324,2,0,0,0,0
1,0,69,2,0,0,0,1
1,1,79,2,0,0,0,2
1,0,12,2,0,0,0,0
1,0,9,2,0,0,1,2
1,0,1,2,0,0,0,1
1,0,21,2,0,0,0,0
1,0,9,2,0,0,0,0
1,0,109,2,0,0,0,2
1,1,109,2,0,0,0,1
1,1,72,2,0,0,0,1
1,1,63,2,0,0,0,1
1,0,63,3,0,0,0,1
1,0,101,2,0,0,1,2
1,0,102,2,0,0,0,0
1,0,4,2,0,0,0,1
1,0,98,2,0,0,1,0
1,0,92,1,0,0,0,2
1,0,95,2,0,0,1,2
1,0,102,2,0,0,0,1
1,1,26,2,0,0,0,0
1,1,73,3,0,0,0,1
1,1,102,2,0,0,0,1
1,0,115,2,0,0,0,1
1,0,102,2,0,0,0,2
1,0,86,2,0,0,0,2
1,0,78,2,0,0,0,2
1,0,52,2,0,0,0,0
1,0,29,3,0,0,0,1
1,1,101,2,0,0,0,1
1,0,109,2,0,0,0,1
1,0,92,2,0,0,0,1
1,0,92,2,0,0,0,1
1,0,79,2,0,0,0,1
1,0,2,2,0,0,1,0
1,0,30,2,0,0,0,0
1,1,51,1,0,0,0,0
1,1,36,1,0,0,0,0
1,1,73,2,0,0,0,2
1,1,33,2,0,0,0,0
1,0,32,4,0,0,0,1
1,0,8,2,0,0,0,0
1,0,100,2,0,0,1,1
1,0,1,2,0,0,0,0
1,0,100,2,0,0,0,2
1,0,100,2,0,0,0,1
1,0,9,2,0,0,0,1
1,1,5,2,0,0,0,0
1,0,0,2,0,0,0,0
1,0,9,1,0,0,0,0
1,0,2,1,0,0,0,0
1,0,2,2,0,0,0,0
1,0,9,1,0,0,1,0
1,1,5,2,0,0,0,0
1,0,2,2,0,0,0,1
1,0,44,3,0,0,2,0
1,0,80,2,0,0,1,0
1,0,97,2,0,0,0,2
1,0,109,2,0,0,1,2
1,0,30,2,0,0,0,0
1,0,64,2,0,0,0,0
1,0,39,2,0,0,0,0
1,0,90,2,0,0,0,0
1,1,34,2,0,0,0,0
1,1,93,2,0,0,0,0
1,0,97,2,0,0,1,1
1,0,29,2,0,0,0,1
1,1,101,2,0,0,0,1
1,0,27,2,0,0,0,0
1,0,8,2,0,0,1,1
1,0,82,2,0,0,1,2
1,0,94,3,0,0,1,1
1,0,110,2,0,0,0,0
1,0,96,1,0,0,0,0
1,0,79,2,0,0,0,0
1,0,115,2,0,0,0,0
1,0,111,2,0,0,0,2
1,0,51,2,0,0,1,2
1,0,94,3,0,0,0,1
1,0,81,2,0,0,1,0
1,0,84,2,0,0,0,2
1,0,51,3,0,0,0,2
1,0,111,2,0,0,0,2
1,0,0,1,0,0,0,0
1,0,2,2,0,0,0,0
1,0,7,2,0,0,0,2
1,0,98,2,0,0,1,1
1,0,95,2,0,0,0,1
1,1,48,2,0,0,0,0
1,0,66,2,0,0,0,0
1,0,104,2,0,0,0,1
1,0,28,2,0,0,0,0
1,0,34,2,0,0,1,0
1,0,98,2,0,0,1,1
1,0,104,2,0,0,0,0
1,0,68,2,0,0,0,0
1,1,86,1,0,0,0,1
1,0,258,2,0,0,0,0
1,0,111,2,0,0,0,1
1,1,94,2,0,0,0,0
1,0,112,2,0,0,0,1
1,0,100,2,0,0,0,1
1,0,33,2,0,0,0,1
1,0,97,2,0,0,0,2
1,0,80,1,0,0,0,0
1,0,90,2,0,0,0,0
1,0,111,2,0,0,0,0
1,0,65,2,0,0,0,0
1,1,67,2,0,0,0,1
1,0,55,2,0,0,1,2
1,0,21,2,0,0,0,1
1,0,8,2,0,0,0,1
1,0,8,2,0,0,0,1
1,0,0,1,0,0,0,3
1,0,0,3,0,0,1,0
1,0,0,1,0,0,0,3
1,0,8,3,0,0,0,1
1,0,66,2,0,0,0,2
1,0,88,3,0,0,0,1
1,0,0,2,0,0,0,0
1,1,43,2,0,0,0,0
1,1,88,2,0,0,0,2
1,0,54,2,0,0,0,0
1,1,292,2,0,0,0,0
1,0,112,2,0,0,0,1
1,0,68,2,0,0,0,1
1,0,7,2,0,0,1,2
1,0,1,2,0,0,1,1
1,1,113,2,0,0,0,1
1,0,5,2,0,0,0,1
1,0,83,2,0,0,0,1
1,1,105,2,0,0,0,1
1,0,0,1,0,0,0,0
1,1,1,2,0,0,0,1
1,1,1,2,0,0,0,1
1,0,1,2,0,0,1,1
1,1,102,2,0,0,0,1
1,0,113,2,0,0,1,1
1,1,280,2,0,0,0,1
1,0,96,2,0,0,0,1
1,0,394,2,0,0,0,0
1,0,33,2,0,0,0,0
1,0,82,3,0,0,0,1
1,0,100,3,0,0,0,3
1,0,100,2,0,0,0,2
1,0,17,2,0,0,0,3
1,0,68,3,0,0,1,1
1,0,12,2,0,0,1,0
1,1,77,2,0,0,0,0
1,1,24,2,0,0,0,1
1,1,44,2,0,0,0,0
1,0,78,2,0,0,0,2
1,1,17,2,0,0,0,0
1,1,103,2,0,0,0,0
1,0,16,1,0,0,0,1
1,0,14,2,0,0,1,1
1,0,77,2,0,0,0,0
1,0,90,2,0,0,0,0
1,0,90,2,0,0,0,0
1,0,90,2,0,0,0,0
1,0,366,2,0,0,0,0
1,0,249,2,0,0,0,1
1,1,69,2,0,0,0,2
1,0,10,2,0,0,0,0
1,0,22,2,0,0,0,0
1,0,91,2,0,0,0,1
1,0,23,2,0,0,0,0
1,0,11,2,0,0,0,1
1,0,3,2,0,0,0,1
1,0,13,2,0,0,1,1
1,0,108,2,0,0,0,2
1,0,91,2,0,0,0,1
1,0,37,2,0,0,0,1
1,0,21,2,0,0,0,1
1,0,106,2,0,0,0,2
1,0,30,2,0,0,0,1
1,0,30,2,0,0,0,1
1,1,51,2,0,0,0,0
1,0,79,2,0,0,0,2
1,0,21,2,0,0,1,3
1,0,35,2,0,0,0,0
1,0,78,2,0,0,1,2
1,0,31,2,0,0,1,1
1,0,78,2,0,0,0,2
1,0,78,2,0,0,1,2
1,0,44,1,0,0,0,0
1,0,34,2,0,0,0,3
1,0,87,2,0,0,0,2
1,0,11,3,0,0,1,0
1,0,115,2,0,0,0,2
1,0,86,2,0,0,0,0
1,0,41,2,0,0,0,0
1,0,32,2,0,0,0,0
1,0,34,2,0,0,0,3
1,0,34,2,0,0,0,1
1,1,100,2,0,0,0,0
1,0,44,2,0,0,0,0
1,0,304,2,0,0,0,1
1,1,36,2,0,0,0,0
1,0,117,3,0,0,0,1
1,0,70,2,0,0,1,2
1,0,110,2,0,0,0,1
1,1,109,2,0,0,0,1
1,0,33,2,0,0,0,1
1,0,33,2,0,0,0,0
1,0,33,2,0,0,0,0
1,0,0,1,0,0,0,0
1,0,0,2,0,0,0,1
1,0,0,2,0,0,0,0
1,0,0,2,0,0,0,1
1,0,84,2,0,0,1,0
1,0,71,2,0,0,0,0
1,0,16,2,0,0,0,1
1,0,54,2,0,0,0,0
1,0,8,2,0,0,0,0
1,0,36,2,0,0,1,0
1,0,40,2,0,0,0,0
1,1,59,2,0,0,0,2
1,0,79,2,0,0,0,0
1,0,32,2,0,0,1,0
1,0,110,2,0,0,0,1
1,0,33,2,0,0,1,0
1,0,53,2,0,0,1,0
1,0,2,2,0,0,1,2
1,0,8,2,0,0,1,2
1,1,72,2,0,0,0,2
1,0,12,2,0,0,0,0
1,0,48,2,0,0,0,1
1,0,90,2,0,0,0,1
1,0,34,2,0,0,0,1
1,1,58,3,0,0,0,1
1,0,59,2,0,0,0,0
1,0,90,2,0,0,1,2
1,0,116,2,0,0,0,0
1,0,31,2,0,0,0,0
1,1,51,2,0,0,0,0
1,0,48,2,0,0,0,1
1,0,59,2,0,0,1,2
1,1,97,2,0,0,0,1
1,0,12,2,0,0,1,2
1,0,64,2,0,0,0,1
1,0,31,2,0,0,0,0
1,0,59,2,0,0,1,1
1,1,55,2,0,0,0,1
1,0,81,2,0,0,0,0
1,0,1,2,0,0,0,0
1,0,34,2,0,0,0,1
1,0,13,2,0,0,0,0
1,0,40,2,0,0,0,0
1,0,1,2,0,0,0,1
1,0,34,2,0,0,0,1
1,0,88,2,0,0,0,0
1,0,9,2,0,0,0,3
1,1,24,2,0,0,0,0
1,0,97,2,0,0,0,0
1,0,60,2,0,0,0,2
1,0,100,2,0,0,1,1
1,0,50,2,0,0,0,0
1,1,47,2,0,0,0,0
1,0,8,2,0,0,0,1
1,0,34,2,0,0,1,0
1,0,47,2,0,0,0,0
1,0,115,2,0,0,0,2
1,1,79,2,0,0,0,1
1,0,91,2,0,0,0,0
1,0,98,2,0,0,0,3
1,0,109,2,0,0,0,1
1,0,0,2,0,0,1,0
1,0,98,2,0,0,0,3
1,0,0,4,0,0,0,0
1,0,9,2,0,0,1,2
1,0,62,2,0,0,0,2
1,1,45,2,0,0,0,0
1,0,42,2,0,0,1,0
1,0,54,2,0,0,1,1
1,0,51,2,0,0,1,0
1,0,54,2,0,0,0,1
1,0,58,2,0,0,1,1
1,0,0,1,0,0,0,0
1,1,60,2,0,0,0,0
1,1,321,2,0,0,0,1
1,0,40,2,0,0,0,2
1,1,51,2,0,0,0,0
1,0,38,2,0,0,0,0
1,1,75,2,0,0,0,1
1,0,101,2,0,0,0,0
1,1,42,2,0,0,0,0
1,0,40,2,0,0,0,2
1,0,109,3,0,0,0,1
1,1,81,2,0,0,0,2
1,1,98,2,0,0,0,0
1,0,32,1,0,0,0,0
1,0,72,2,0,0,0,2
1,0,115,2,0,0,0,2
1,0,118,2,0,0,0,1
1,0,81,2,0,0,0,2
1,1,95,2,0,0,0,1
1,0,16,2,0,0,1,3
1,0,56,2,0,0,1,0
1,0,88,2,0,0,0,0
1,0,41,2,0,0,0,2
1,1,40,2,0,0,0,0
1,0,1,1,0,0,0,0
1,0,1,2,0,0,0,1
1,0,1,2,0,0,1,1
1,1,76,2,0,0,0,2
1,0,0,2,0,0,0,1
1,0,49,2,0,0,0,2
1,0,76,2,0,0,0,0
1,0,73,2,0,0,0,1
1,0,73,2,0,0,0,2
1,0,317,2,0,0,1,2
1,1,112,1,0,0,0,1
1,0,6,2,0,0,1,2
1,0,8,2,0,0,0,1
1,1,96,2,0,0,0,1
1,1,96,2,0,0,0,1
1,0,99,2,0,0,0,1
1,0,66,2,0,0,0,0
1,0,38,2,0,0,0,2
1,0,38,2,0,0,0,2
1,0,113,3,0,0,1,3
1,0,0,1,0,0,0,0
1,1,62,2,0,0,0,0
1,1,39,2,0,0,0,0
1,0,37,2,0,0,0,0
1,1,58,2,0,0,0,0
1,0,37,2,0,0,1,0
1,0,57,2,0,0,0,0
1,0,57,2,0,0,0,0
1,0,57,2,0,0,0,0
1,0,57,2,0,0,0,0
1,0,57,2,0,0,0,0
1,0,83,2,0,0,0,1
1,0,57,2,0,0,0,0
1,0,57,1,0,0,0,0
1,1,57,2,0,0,0,0
1,0,57,2,0,0,0,0
1,0,57,3,0,0,0,0
1,0,57,1,0,0,0,0
1,0,57,2,0,0,0,0
1,0,57,2,0,0,0,0
1,0,57,3,0,0,0,0
1,0,57,1,0,0,0,0
1,0,57,2,0,0,0,0
1,0,57,2,0,0,0,0
1,0,57,2,0,0,0,0
1,0,57,2,0,0,0,0
1,0,57,2,0,0,0,0
1,1,66,2,0,0,0,1
1,0,13,2,0,0,0,1
1,0,50,2,0,0,0,0
1,1,48,1,0,0,0,0
1,1,0,2,0,0,0,0
1,0,7,2,0,0,1,1
1,0,0,2,0,0,1,0
1,1,66,2,0,0,0,1
1,0,13,2,0,0,0,1
1,0,66,2,0,0,0,1
1,0,10,2,0,0,1,0
1,1,10,2,0,0,0,0
1,1,58,2,0,0,0,0
1,1,17,2,0,0,0,0
1,0,19,2,0,0,0,1
1,0,10,2,0,0,0,1
1,1,12,2,0,0,0,0
1,0,10,1,0,0,0,1
1,0,63,2,0,0,0,1
1,1,35,2,0,0,0,0
1,0,113,2,0,0,0,1
1,1,35,2,0,0,0,0
1,0,68,2,0,0,0,0
1,0,113,2,0,0,0,0
1,0,21,1,0,0,0,0
1,0,6,2,0,0,0,1
1,0,7,2,0,0,0,1
1,0,17,2,0,0,0,2
1,0,1,2,0,0,0,0
1,0,2,2,0,0,0,0
1,1,15,2,0,0,0,1
1,1,7,2,0,0,0,1
1,0,11,2,0,0,1,0
1,1,6,2,0,0,0,1
1,0,1,2,0,0,0,0
1,0,1,2,0,0,0,0
1,0,48,2,0,0,0,0
1,0,15,2,0,0,0,1
1,1,3,1,0,0,0,0
1,1,23,2,0,0,0,1
1,0,53,2,0,0,0,0
1,0,53,2,0,0,1,0
1,0,94,2,0,0,0,0
1,0,64,1,0,0,0,1
1,0,53,2,0,0,0,0
1,0,53,1,0,0,1,0
1,0,64,1,0,0,0,1
1,0,53,2,0,0,1,0
1,0,24,3,0,0,0,1
1,0,24,2,0,0,0,0
1,0,23,2,0,0,0,0
1,0,53,2,0,0,0,2
1,1,23,2,0,0,0,0
1,0,90,2,0,0,0,3
1,0,79,2,0,0,0,2
1,0,43,2,0,0,0,0
1,0,90,2,0,0,0,3
1,0,65,2,0,0,0,2
1,0,65,2,0,0,1,2
1,0,99,3,0,0,0,1
1,0,25,2,0,0,0,2
1,0,92,2,0,0,1,3
1,0,91,2,0,0,0,3
1,0,38,2,0,0,0,1
1,0,6,2,0,0,0,0
1,0,38,2,0,0,0,0
1,0,13,2,0,0,0,2
1,1,32,2,0,0,0,0
1,0,315,2,0,0,0,0
1,0,8,2,0,0,0,2
1,1,0,2,0,0,0,0
1,0,91,2,0,0,0,3
